"Id. de la fila","Id. del pedido","Fecha del pedido","Fecha de envío","Forma de envío","Id. del cliente","Nombre del cliente","Segmento","Ciudad","Estado","País","Región","Id. del producto","Categoría","Subcategoría","Nombre del producto","Total ($ COP)","Cantidad","Descuento","Ganancia ($ COP)"
"1","MX-2015-143658","42645","42649","Estándar","RC-20575","Reyes Coto","Cliente","Ciudad de México","Distrito Federal","México","Norte","MAT-ET-10000866","Material de oficina","Etiquetas","Hon Etiquetas para carpetas de archivos, Ajustable","2223.6","3","0","775.2"
"2","MX-2013-155047","41928","41933","Estándar","IG-16570","Iván Girón","Cliente","Dos Quebradas","Risaralda","Colombia","Sur","MOB-MO-10000543","Mobiliario","Mobiliario","Tenex Reloj, Duradero","42867.2","8","0","15422.4"
"3","MX-2013-155047","41928","41933","Estándar","IG-16570","Iván Girón","Cliente","Dos Quebradas","Risaralda","Colombia","Sur","MOB-LI-10000111","Mobiliario","Librerías","Ikea Vitrina, Blanco","32857.6","2","0","9193.6"
"4","MX-2013-155047","41928","41933","Estándar","IG-16570","Iván Girón","Cliente","Dos Quebradas","Risaralda","Colombia","Sur","MAT-CA-10004211","Material de oficina","Carpetas","Cardinal Carpeta, Transparente","6024.8","4","0","843.2"
"5","MX-2013-155047","41928","41933","Estándar","IG-16570","Iván Girón","Cliente","Dos Quebradas","Risaralda","Colombia","Sur","MAT-AR-10001135","Material de oficina","Arte","Sanford Lienzos, Tamaños variados","12172","2","0","1944.8"
"6","MX-2013-155047","41928","41933","Estándar","IG-16570","Iván Girón","Cliente","Dos Quebradas","Risaralda","Colombia","Sur","MAT-SO-10000727","Material de oficina","Sobres","GlobeWeis Paquetes, Rojo","9540.4","2","0","3624.4"
"7","MX-2014-134096","42275","42279","Estándar","CV-13000","Cristina Vázquez","Cliente","São Paulo","São Paulo","Brasil","Sur","MAT-SO-10000727","Material de oficina","Sobres","GlobeWeis Paquetes, Rojo","9540.4","2","0","3624.4"
"8","MX-2014-134096","42275","42279","Estándar","CV-13000","Cristina Vázquez","Cliente","São Paulo","São Paulo","Brasil","Sur","TEC-MÁ-10002159","Tecnología","Máquinas","Konica Impresora de tarjetas, Rojo","58588.8","3","0","28121.4"
"9","MX-2014-134096","42275","42279","Estándar","CV-13000","Cristina Vázquez","Cliente","São Paulo","São Paulo","Brasil","Sur","MAT-SU-10004093","Material de oficina","Suministros","Elite Cúter, Industrial","16551.2","4","0","3304.8"
"10","MX-2014-134096","42275","42279","Estándar","CV-13000","Cristina Vázquez","Cliente","São Paulo","São Paulo","Brasil","Sur","TEC-AC-10001207","Tecnología","Accesorios","Enermax Router, Blanco","58058.4","2","0","2318.8"
"11","MX-2014-134096","42275","42279","Estándar","CV-13000","Cristina Vázquez","Cliente","São Paulo","São Paulo","Brasil","Sur","MAT-CA-10002538","Material de oficina","Carpetas","Wilson Jones Anillas, Duradero","2050.2","3","0","591.6"
"12","MX-2014-156335","42069","42076","Estándar","TR-21250","Trinidad Rubio","Cliente","Managua","Managua","Nicaragua","Centro","MAT-GR-10000334","Material de oficina","Grapas","Accos Grapas, Paquete de 12","3529.2","3","0","1621.8"
"13","MX-2014-156335","42069","42076","Estándar","TR-21250","Trinidad Rubio","Cliente","Managua","Managua","Nicaragua","Centro","MOB-SI-10003897","Mobiliario","Sillas","Hon Silla plegable, Negro","35808.8","4","0","8581.6"
"14","MX-2015-121923","42637","42644","Estándar","MG-18910","Mireia Garay","Pequeña empresa","Managua","Managua","Nicaragua","Centro","MAT-SO-10001382","Material de oficina","Sobres","Kraft Paquetes, Plateado","13617","3","0","6395.4"
"15","MX-2015-135706","42661","42666","Estándar","HV-15625","Heriberto Valderas","Cliente","Brasília","Distrito Federal","Brasil","Sur","MAT-AR-10004818","Material de oficina","Arte","Stanley Lienzos, Al por mayor","22548.8","4","0","6079.2"
"16","MX-2015-135706","42661","42666","Estándar","HV-15625","Heriberto Valderas","Cliente","Brasília","Distrito Federal","Brasil","Sur","MAT-GR-10004569","Material de oficina","Grapas","Advantus Grapadoras, Metal","2199.8","1","0","173.4"
"17","US-2014-126655","42182","42187","Estándar","FA-14800","Florencio Anguiano","Empresa","San Miguelito","Panamá","Panamá","Centro","MAT-SO-10003285","Material de oficina","Sobres","Jiffy Cierre adhesivo, Rojo","3202.8","2","0.4","-1122"
"18","US-2014-126655","42182","42187","Estándar","FA-14800","Florencio Anguiano","Empresa","San Miguelito","Panamá","Panamá","Centro","MOB-MO-10001983","Mobiliario","Mobiliario","Deflect-O Marco, Surtido","52407.6","7","0.4","-25347"
"19","US-2014-126655","42182","42187","Estándar","FA-14800","Florencio Anguiano","Empresa","San Miguelito","Panamá","Panamá","Centro","MAT-SO-10004692","Material de oficina","Sobres","GlobeWeis Sobres de uso interno, Plateado","6829.92","2","0.4","-1030.88"
"20","US-2014-126655","42182","42187","Estándar","FA-14800","Florencio Anguiano","Empresa","San Miguelito","Panamá","Panamá","Centro","MAT-SO-10001971","Material de oficina","Sobres","Jiffy Sobre de hebilla, Reciclado","1493.28","3","0.4","-822.12"
"21","MX-2014-167759","42358","42364","Estándar","HS-15610","Higinio Suárez","Empresa","San Cristóbal de Las Casas","Chiapas","México","Norte","MOB-SI-10000984","Mobiliario","Sillas","Hon Mecedora, Negro","46490.24","4","0.2","16271.04"
"22","MX-2014-163139","42307","42311","Rápido","TG-21055","Tamara González","Cliente","Santiago","Santiago","Chile","Sur","TEC-AC-10002497","Tecnología","Accesorios","Enermax Ratón, Negro","4590","1","0","1009.8"
"23","MX-2014-163139","42307","42311","Rápido","TG-21055","Tamara González","Cliente","Santiago","Santiago","Chile","Sur","MAT-SU-10004674","Material de oficina","Suministros","Acme Cúter, Rectangular","35190","9","0","11260.8"
"24","US-2015-119753","42646","42651","Estándar","DG-13195","Damiana Guardado","Empresa","Ciudad de Panamá","Panamá","Panamá","Centro","MAT-CA-10002265","Material de oficina","Carpetas","Acco Encuadernadora, Transparente","10312.2","3","0.4","-3437.4"
"25","US-2013-133970","41909","41912","Urgente","RD-20215","Ramiro Dávila","Cliente","Hermosillo","Sonora","México","Norte","MOB-MO-10004742","Mobiliario","Mobiliario","Deflect-O Reloj, Negro","30789.72","9","0.4","-12845.88"
"26","MX-2015-120607","42539","42546","Estándar","SO-20650","Sabina Ornelas","Empresa","Coyoacán","Distrito Federal","México","Norte","TEC-CO-10004989","Tecnología","Copiadoras","HP Fotocopiadora, Color","55451.6744","2","0.002","11000.0744"
"27","MX-2015-120607","42539","42546","Estándar","SO-20650","Sabina Ornelas","Empresa","Coyoacán","Distrito Federal","México","Norte","MAT-AL-10002199","Material de oficina","Almacenamiento","Rogers Caja, Tamaño completo","13600","5","0","5848"
"28","US-2014-167129","42149","42156","Estándar","PC-20050","Plácido Calvillo","Pequeña empresa","Tegucigalpa","Francisco Morazán","Honduras","Centro","MAT-CA-10003756","Material de oficina","Carpetas","Wilson Jones Encuadernadora, Duradero","24018.96","7","0.4","-12418.84"
"29","US-2014-167129","42149","42156","Estándar","PC-20050","Plácido Calvillo","Pequeña empresa","Tegucigalpa","Francisco Morazán","Honduras","Centro","MAT-GR-10003937","Material de oficina","Grapas","Stockwell Chinchetas, Metal","3712.8","4","0.4","-557.6"
"30","US-2014-167129","42149","42156","Estándar","PC-20050","Plácido Calvillo","Pequeña empresa","Tegucigalpa","Francisco Morazán","Honduras","Centro","TEC-TE-10003660","Tecnología","Teléfonos","Motorola Teléfono de oficina, Azul","19518.72","4","0.4","-8470.08"
"31","US-2014-167129","42149","42156","Estándar","PC-20050","Plácido Calvillo","Pequeña empresa","Tegucigalpa","Francisco Morazán","Honduras","Centro","MAT-AR-10000190","Material de oficina","Arte","Binney & Smith Rotuladores, Azul","3276.24","2","0.4","488.24"
"32","US-2014-167129","42149","42156","Estándar","PC-20050","Plácido Calvillo","Pequeña empresa","Tegucigalpa","Francisco Morazán","Honduras","Centro","MAT-EL-10003493","Material de oficina","Electrodomésticos","Breville Tostadora, Negro","25887.6","5","0.4","-16833.4"
"33","US-2014-167129","42149","42156","Estándar","PC-20050","Plácido Calvillo","Pequeña empresa","Tegucigalpa","Francisco Morazán","Honduras","Centro","TEC-CO-10000924","Tecnología","Copiadoras","Sharp Fax, Digital","160102.3008","8","0.402","-102296.0992"
"34","US-2014-167129","42149","42156","Estándar","PC-20050","Plácido Calvillo","Pequeña empresa","Tegucigalpa","Francisco Morazán","Honduras","Centro","MAT-AR-10002543","Material de oficina","Arte","Stanley Sacapuntas, Metal","1770.72","1","0.4","-119.68"
"35","MX-2015-100727","42505","42508","Urgente","DC-13525","David Caraballo","Empresa","Ciudad de México","Distrito Federal","México","Norte","MAT-SU-10002838","Material de oficina","Suministros","Fiskars Cúter, Rectangular","51122.4","14","0","21943.6"
"36","MX-2015-100727","42505","42508","Urgente","DC-13525","David Caraballo","Empresa","Ciudad de México","Distrito Federal","México","Norte","MAT-SU-10000526","Material de oficina","Suministros","Acme Abrecartas, Acero","23490.6","7","0","9139.2"
